;STATION_ID;STATION_NM;DATE_OBS;TMPMAX;Q;TMPMIN;Q.1;TMPMN;Q.2;PRECIP;Q.3;D
0;31960;ВЛАДИВОСТОК;2000-01-01;-9.3;0;-17.7;0;-14.2;0;0.0;0;2
1;31960;ВЛАДИВОСТОК;2000-01-02;-6.8;0;-17.2;0;-14.7;0;3.1;0;0
2;31960;ВЛАДИВОСТОК;2000-01-03;-10.8;0;-15.6;0;-12.4;0;3.4;0;0
3;31960;ВЛАДИВОСТОК;2000-01-04;-11.5;0;-17.0;0;-14.8;0;0.0;0;2
4;31960;ВЛАДИВОСТОК;2000-01-05;-12.8;0;-19.6;0;-16.8;0;0.0;0;2
5;31960;ВЛАДИВОСТОК;2000-01-06;-10.3;0;-17.6;0;-16.0;0;14.0;0;0
6;31960;ВЛАДИВОСТОК;2000-01-07;-6.6;0;-19.9;0;-15.2;0;6.8;0;0
7;31960;ВЛАДИВОСТОК;2000-01-08;-9.4;0;-17.5;0;-14.3;0;0.0;0;2
8;31960;ВЛАДИВОСТОК;2000-01-09;-5.9;0;-12.6;0;-10.2;0;0.0;0;2
9;31960;ВЛАДИВОСТОК;2000-01-10;-5.9;0;-11.5;0;-9.0;0;0.0;0;2
10;31960;ВЛАДИВОСТОК;2000-01-11;-10.3;0;-16.2;0;-13.6;0;0.0;0;2
11;31960;ВЛАДИВОСТОК;2000-01-12;-8.0;0;-17.6;0;-13.7;0;0.0;0;2
12;31960;ВЛАДИВОСТОК;2000-01-13;-7.1;0;-15.2;0;-12.2;0;2.7;0;0
13;31960;ВЛАДИВОСТОК;2000-01-14;-13.5;0;-21.2;0;-18.1;0;0.5;0;0
14;31960;ВЛАДИВОСТОК;2000-01-15;-13.9;0;-21.1;0;-18.2;0;0.0;0;2
15;31960;ВЛАДИВОСТОК;2000-01-16;-10.6;0;-17.1;0;-15.3;0;0.0;0;2
16;31960;ВЛАДИВОСТОК;2000-01-17;-12.7;0;-19.7;0;-17.3;0;0.0;0;2
17;31960;ВЛАДИВОСТОК;2000-01-18;-14.0;0;-21.5;0;-18.6;0;0.0;0;2
18;31960;ВЛАДИВОСТОК;2000-01-19;-16.3;0;-22.9;0;-19.8;0;0.0;0;2
19;31960;ВЛАДИВОСТОК;2000-01-20;-16.4;0;-24.6;0;-21.7;0;0.0;0;2
20;31960;ВЛАДИВОСТОК;2000-01-21;-14.0;0;-22.0;0;-18.9;0;0.0;0;2
21;31960;ВЛАДИВОСТОК;2000-01-22;-9.9;0;-16.4;0;-14.0;0;0.3;0;0
22;31960;ВЛАДИВОСТОК;2000-01-23;-9.2;0;-16.5;0;-13.5;0;0.5;0;0
23;31960;ВЛАДИВОСТОК;2000-01-24;-15.2;0;-21.6;0;-19.2;0;0.0;0;2
24;31960;ВЛАДИВОСТОК;2000-01-25;-13.8;0;-22.1;0;-18.5;0;0.0;0;2
25;31960;ВЛАДИВОСТОК;2000-01-26;-14.4;0;-19.0;0;-17.0;0;0.0;0;2
26;31960;ВЛАДИВОСТОК;2000-01-27;-7.4;0;-22.5;0;-16.8;0;0.0;0;2
27;31960;ВЛАДИВОСТОК;2000-01-28;-3.6;0;-12.9;0;-9.3;0;0.0;0;2
28;31960;ВЛАДИВОСТОК;2000-01-29;-3.5;0;-10.0;0;-6.1;0;0.0;0;2
29;31960;ВЛАДИВОСТОК;2000-01-30;-3.8;0;-14.1;0;-11.9;0;0.0;0;2
30;31960;ВЛАДИВОСТОК;2000-01-31;-10.7;0;-18.6;0;-15.3;0;0.0;0;2
31;31960;ВЛАДИВОСТОК;2000-02-01;-5.0;0;-16.6;0;-11.2;0;0.0;0;2
32;31960;ВЛАДИВОСТОК;2000-02-02;-5.2;0;-12.4;0;-9.2;0;0.0;0;2
33;31960;ВЛАДИВОСТОК;2000-02-03;-4.8;0;-14.5;0;-9.5;0;0.0;0;2
34;31960;ВЛАДИВОСТОК;2000-02-04;-5.3;0;-14.4;0;-10.0;0;0.0;0;2
35;31960;ВЛАДИВОСТОК;2000-02-05;-5.0;0;-12.0;0;-8.0;0;0.0;0;2
36;31960;ВЛАДИВОСТОК;2000-02-06;-7.3;0;-13.9;0;-10.6;0;0.0;0;2
37;31960;ВЛАДИВОСТОК;2000-02-07;-7.6;0;-13.9;0;-10.8;0;0.0;0;2
38;31960;ВЛАДИВОСТОК;2000-02-08;-8.9;0;-16.1;0;-13.2;0;0.0;0;2
39;31960;ВЛАДИВОСТОК;2000-02-09;-7.8;0;-16.8;0;-13.4;0;0.0;0;2
40;31960;ВЛАДИВОСТОК;2000-02-10;-4.3;0;-12.0;0;-8.9;0;0.0;0;2
41;31960;ВЛАДИВОСТОК;2000-02-11;-2.6;0;-9.8;0;-6.7;0;0.0;0;2
42;31960;ВЛАДИВОСТОК;2000-02-12;-4.4;0;-8.9;0;-6.9;0;0.5;0;0
43;31960;ВЛАДИВОСТОК;2000-02-13;-7.1;0;-13.4;0;-11.1;0;0.0;0;2
44;31960;ВЛАДИВОСТОК;2000-02-14;-8.8;0;-15.6;0;-12.3;0;0.0;0;2
45;31960;ВЛАДИВОСТОК;2000-02-15;-10.3;0;-16.4;0;-13.9;0;0.0;0;2
46;31960;ВЛАДИВОСТОК;2000-02-16;-9.3;0;-16.7;0;-13.8;0;0.0;0;2
47;31960;ВЛАДИВОСТОК;2000-02-17;-8.8;0;-14.8;0;-12.2;0;0.0;0;2
48;31960;ВЛАДИВОСТОК;2000-02-18;-7.0;0;-14.6;0;-11.2;0;0.0;0;2
49;31960;ВЛАДИВОСТОК;2000-02-19;-5.0;0;-13.5;0;-8.4;0;0.0;0;2
50;31960;ВЛАДИВОСТОК;2000-02-20;-6.8;0;-11.5;0;-9.3;0;0.0;0;2
51;31960;ВЛАДИВОСТОК;2000-02-21;-8.1;0;-14.0;0;-11.5;0;0.0;0;2
52;31960;ВЛАДИВОСТОК;2000-02-22;-7.7;0;-14.2;0;-11.8;0;0.0;0;2
53;31960;ВЛАДИВОСТОК;2000-02-23;-2.8;0;-11.6;0;-8.1;0;0.0;0;2
54;31960;ВЛАДИВОСТОК;2000-02-24;-5.5;0;-13.9;0;-10.8;0;0.0;0;2
55;31960;ВЛАДИВОСТОК;2000-02-25;-6.0;0;-15.5;0;-11.9;0;0.0;0;2
56;31960;ВЛАДИВОСТОК;2000-02-26;-4.4;0;-9.3;0;-7.2;0;2.1;0;0
57;31960;ВЛАДИВОСТОК;2000-02-27;-3.9;0;-8.9;0;-6.1;0;1.8;0;0
58;31960;ВЛАДИВОСТОК;2000-02-28;-6.4;0;-14.5;0;-11.3;0;0.0;0;3
59;31960;ВЛАДИВОСТОК;2000-02-29;-5.2;0;-14.0;0;-10.8;0;0.0;0;2
60;31960;ВЛАДИВОСТОК;2000-03-01;1.2;0;-9.5;0;-5.5;0;0.0;0;2
61;31960;ВЛАДИВОСТОК;2000-03-02;3.1;0;-5.6;0;-1.2;0;0.0;0;2
62;31960;ВЛАДИВОСТОК;2000-03-03;1.7;0;-2.5;0;-0.6;0;0.0;0;2
63;31960;ВЛАДИВОСТОК;2000-03-04;7.2;0;-3.5;0;2.6;0;0.0;0;2
